Date,Liquidity Coverage Ratio (LCR),Probability of Default (PD),Non-Performing Assets (NPA),Fraud Detection Score,Operational Efficiency Score,Risk Alert Level
2024-01-31,108,6.319712902560894,1.460597272115538,0.1601618646118549,93,Medium
2024-02-29,118,3.5836823807503886,3.3984013021419206,0.1781679156210545,74,Medium
2024-03-31,110,2.348313693199093,4.606722758922222,0.5415884250818422,90,High
2024-04-30,115,6.884193901795231,1.8473799120308017,0.6421611786678751,82,Medium
2024-05-31,100,3.5063923647155852,2.5698532394103486,0.7951274884397855,80,Medium
2024-06-30,106,2.407107403616137,4.708100270329416,0.14872006829019357,83,High
2024-07-31,117,6.522106785826276,4.03905864155608,0.44536652469710225,75,Medium
2024-08-31,99,4.6743411809579065,4.1217026691251055,0.3720482531260173,87,High
2024-09-30,107,6.503435723883558,3.6398524180211216,0.519098176544801,85,High
2024-10-31,108,4.550662880649857,2.6221691500395194,0.32651804243376115,91,Low
